case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
DrivAer,65334765.0,4370045.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6495099.0,Global Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,8646081.0,Global Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,8861748.0,Global Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4010002.0,Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4015339.0,Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4026307.0,Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3790890.0,Cell-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3705886.0,Cell-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3735414.0,Cell-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6473884.0,Global Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6583980.0,Global Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6376550.0,Global Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3797625.0,Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3556570.0,Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3670401.0,Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3459668.0,Cell-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3208979.0,Cell-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3292387.0,Cell-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5178603.0,Global Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5004274.0,Global Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5270043.0,Global Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3619228.0,Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3224483.0,Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3125674.0,Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3260515.0,Cell-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2944638.0,Cell-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2943101.0,Cell-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4954600.0,Global Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4501348.0,Global Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4407994.0,Global Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3061984.0,Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3269162.0,Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
