case,cells,time_us,strategy,executor,julia_or_neon,threads,node
LDC_N160,4096000.0,119412.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,119288.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,119204.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,13007.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,13134.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,12971.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,10497.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,10406.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,10404.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,10392.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,10290.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N160,4096000.0,10296.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N170,4913000.0,156090.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,155981.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,155868.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,15298.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,15206.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,15142.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,12390.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,12279.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,12263.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,12224.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,12150.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N170,4913000.0,12141.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N10,1000.0,1198.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N10,1000.0,1151.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N10,1000.0,1143.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N10,1000.0,1103.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,901.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,885.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,476.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,437.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,433.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,448.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,424.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N10,1000.0,417.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N20,8000.0,1167.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N20,8000.0,1141.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N20,8000.0,1162.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N20,8000.0,1117.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,916.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,895.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,485.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,441.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,438.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,453.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,427.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N20,8000.0,424.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N30,27000.0,1638.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N30,27000.0,1446.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N30,27000.0,1514.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N30,27000.0,1130.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,951.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,927.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,520.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,481.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,474.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,476.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,459.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N30,27000.0,454.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N40,64000.0,3012.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N40,64000.0,2958.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N40,64000.0,2984.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N40,64000.0,1712.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,1537.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,1534.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,803.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,772.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,762.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,779.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,747.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
LDC_N40,64000.0,744.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h200
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N50,125000.0,4639.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
LDC_N50,125000.0,4543.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h200
