case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N50,125000.0,1180.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,699.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,528.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,525.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1170.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1123.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1128.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,583.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,534.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,537.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1255.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1245.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1239.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1503.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1407.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1403.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,849.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,606.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,599.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1309.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1230.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1228.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,814.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,775.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,773.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1456.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1418.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1435.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1982.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1919.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1898.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
