time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,cells,ms_normed,varDisplay,varType
0.9994397552,0.998192,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,True,True,16,343000,2.9138185282798832e-06,Upwind (Stat.),Hardcoded
1.956735037964775,1.984308,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,Fused,julia,float64,cpu,True,True,16,343000,5.704766874532872e-06,Fused,Fused
1.6160556081474298,1.614229,0.0,0.0,LDC-343000,LDC-343000,batchedFace,HardCodedCDF,julia,float64,cpu,True,True,16,343000,4.711532385269475e-06,Linear (Stat.),Hardcoded
1.61746967605178,1.616723,0.0,0.0,LDC-343000,LDC-343000,batchedFace,DynamicUpwind,julia,float64,cpu,True,True,16,343000,4.715655032220932e-06,Upwind (Dyn.),Dynamic
1.7526693089060308,1.74975,0.0,0.0,LDC-343000,LDC-343000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,16,343000,5.109823058035075e-06,Upwind (Prec.),Precalculated Weights
1.6235324884702826,1.615361,0.0,0.0,LDC-343000,LDC-343000,batchedFace,DynamicCDF,julia,float64,cpu,True,True,16,343000,4.733330870175751e-06,Linear (Dyn.),Dynamic
1.7488178610916725,1.7431865,0.0,0.0,LDC-343000,LDC-343000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,16,343000,5.098594347206042e-06,Linear (Prec.),Precalculated Weights
1.610866095069288,1.609873,0.0,0.0,LDC-343000,LDC-343000,batchedFace,HardCodedUpwind,julia,float64,cpu,True,True,16,343000,4.6964026095314514e-06,Upwind (Stat.),Hardcoded
2.2238969550711745,2.2191615,0.0,0.0,LDC-343000,LDC-343000,batchedFace,Fused,julia,float64,cpu,True,True,16,343000,6.48366459204424e-06,Fused,Fused
2.944012171378092,2.936216,0.0855991819787986,0.0,LDC-343000,LDC-343000,cellBased,HardCodedCDF,julia,float64,cpu,True,True,16,343000,8.58312586407607e-06,Linear (Stat.),Hardcoded
2.950077191150443,2.944648,0.0880543823008849,0.0,LDC-343000,LDC-343000,cellBased,DynamicUpwind,julia,float64,cpu,True,True,16,343000,8.600808137464848e-06,Upwind (Dyn.),Dynamic
3.030888687878788,3.034962,0.0852775587878788,0.0,LDC-343000,LDC-343000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,16,343000,8.836410168742822e-06,Upwind (Prec.),Precalculated Weights
2.977211873214286,2.972737,0.0864461720238095,0.0,LDC-343000,LDC-343000,cellBased,DynamicCDF,julia,float64,cpu,True,True,16,343000,8.679917997709288e-06,Linear (Dyn.),Dynamic
3.0422900972644373,3.042393,0.0870758200607902,0.0,LDC-343000,LDC-343000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,16,343000,8.869650429342382e-06,Linear (Prec.),Precalculated Weights
2.9297742893966023,2.92415,0.0874197492677211,0.0,LDC-343000,LDC-343000,cellBased,HardCodedUpwind,julia,float64,cpu,True,True,16,343000,8.541616004071726e-06,Upwind (Stat.),Hardcoded
2.863253403207331,2.8779115,0.0874694536082474,0.0,LDC-343000,LDC-343000,cellBased,Fused,julia,float64,cpu,True,True,16,343000,8.347677560371228e-06,Fused,Fused
0.3712477762,0.3053295,0.0101217760999999,0.0,LDC-343000,LDC-343000,faceBased,HardCodedCDF,julia,float64,cpu,True,True,32,343000,1.0823550326530613e-06,Linear (Stat.),Hardcoded
0.4203835737,0.460142,0.010838816,0.0,LDC-343000,LDC-343000,faceBased,DynamicUpwind,julia,float64,cpu,True,True,32,343000,1.2256080865889213e-06,Upwind (Dyn.),Dynamic
