,case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz,time_ms,ms_normed,us_normed,mean_normed,us_mean_normed,merged,bandwidth
91,LDC_N50,125000,402,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,0.402,3.216e-06,0.003216,3.536e-06,0.003536,Fused Face-Based (NeoN),51.343283582089555
92,LDC_N50,125000,382,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,0.382,3.056e-06,0.003056,3.536e-06,0.003536,Fused Face-Based (NeoN),54.03141361256544
93,LDC_N50,125000,968,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,0.968,7.743999999999999e-06,0.007744,8.744e-06,0.008744,Cell-Based (NeoN),21.322314049586776
94,LDC_N50,125000,954,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,0.954,7.631999999999999e-06,0.007632,8.744e-06,0.008744,Cell-Based (NeoN),21.63522012578616
95,LDC_N50,125000,954,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,0.954,7.631999999999999e-06,0.007632,8.744e-06,0.008744,Cell-Based (NeoN),21.63522012578616
96,LDC_N50,125000,1125,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,1.125,9e-06,0.009,9.504e-06,0.009504,Face-Based (NeoN),18.346666666666668
97,LDC_N50,125000,1063,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,1.063,8.504e-06,0.008504,9.504e-06,0.009504,Face-Based (NeoN),19.416745061147697
98,LDC_N50,125000,1059,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,1.059,8.472e-06,0.008472,9.504e-06,0.009504,Face-Based (NeoN),19.490084985835693
99,LDC_N50,125000,673,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,860000.0,0.673,5.3840000000000005e-06,0.005384,4.48e-06,0.00448,Face-Based (JuNe),30.668647845468055
100,LDC_N50,125000,574,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,860000.0,0.574,4.591999999999999e-06,0.004592,4.48e-06,0.00448,Face-Based (JuNe),35.958188153310104
101,LDC_N50,125000,560,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,860000.0,0.56,4.48e-06,0.00448,4.48e-06,0.00448,Face-Based (JuNe),36.857142857142854
102,LDC_N50,125000,1120,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,860000.0,1.12,8.96e-06,0.00896,8.992000000000001e-06,0.008992,Cell-Based (JuNe),18.428571428571427
103,LDC_N50,125000,1084,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,860000.0,1.084,8.672000000000001e-06,0.008672,8.992000000000001e-06,0.008992,Cell-Based (JuNe),19.04059040590406
104,LDC_N50,125000,1079,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,860000.0,1.079,8.632e-06,0.008632,8.992000000000001e-06,0.008992,Cell-Based (JuNe),19.12882298424467
105,LDC_N30,27000,178,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.178,6.592592592592592e-06,0.0065925925925925,4.888888888888889e-06,0.0048888888888888,Fused Face-Based (NeoN),24.75505617977528
106,LDC_N30,27000,131,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.131,4.851851851851852e-06,0.0048518518518518,4.888888888888889e-06,0.0048888888888888,Fused Face-Based (NeoN),33.63664122137405
107,LDC_N30,27000,122,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.122,4.5185185185185185e-06,0.0045185185185185,4.888888888888889e-06,0.0048888888888888,Fused Face-Based (NeoN),36.11803278688525
108,LDC_N30,27000,454,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.454,1.6814814814814814e-05,0.0168148148148148,1.6592592592592594e-05,0.0165925925925925,Cell-Based (NeoN),9.705726872246697
109,LDC_N30,27000,445,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.445,1.6481481481481482e-05,0.0164814814814814,1.6592592592592594e-05,0.0165925925925925,Cell-Based (NeoN),9.902022471910112
110,LDC_N30,27000,432,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.432,1.6e-05,0.016,1.6592592592592594e-05,0.0165925925925925,Cell-Based (NeoN),10.2
111,LDC_N30,27000,564,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.564,2.0888888888888887e-05,0.0208888888888888,1.848148148148148e-05,0.0184814814814814,Face-Based (NeoN),7.812765957446809
112,LDC_N30,27000,470,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.47,1.7407407407407406e-05,0.0174074074074074,1.848148148148148e-05,0.0184814814814814,Face-Based (NeoN),9.37531914893617
113,LDC_N30,27000,472,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.472,1.748148148148148e-05,0.0174814814814814,1.848148148148148e-05,0.0184814814814814,Face-Based (NeoN),9.335593220338984
114,LDC_N30,27000,501,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.501,1.8555555555555557e-05,0.0185555555555555,1.1925925925925929e-05,0.0119259259259259,Face-Based (JuNe),8.795209580838323
115,LDC_N30,27000,285,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.285,1.0555555555555555e-05,0.0105555555555555,1.1925925925925929e-05,0.0119259259259259,Face-Based (JuNe),15.461052631578948
116,LDC_N30,27000,273,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.273,1.0111111111111113e-05,0.0101111111111111,1.1925925925925929e-05,0.0119259259259259,Face-Based (JuNe),16.14065934065934
117,LDC_N30,27000,610,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.61,2.259259259259259e-05,0.0225925925925925,2.2444444444444444e-05,0.0224444444444444,Cell-Based (JuNe),7.22360655737705
118,LDC_N30,27000,562,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.562,2.0814814814814817e-05,0.0208148148148148,2.2444444444444444e-05,0.0224444444444444,Cell-Based (JuNe),7.840569395017794
119,LDC_N30,27000,558,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.558,2.066666666666667e-05,0.0206666666666666,2.2444444444444444e-05,0.0224444444444444,Cell-Based (JuNe),7.896774193548387
120,LDC_N60,216000,532,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,1490400.0,0.532,2.462962962962963e-06,0.0024629629629629,2.481481481481482e-06,0.0024814814814814,Fused Face-Based (NeoN),67.23609022556391
121,LDC_N60,216000,485,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,1490400.0,0.485,2.2453703703703703e-06,0.0022453703703703,2.481481481481482e-06,0.0024814814814814,Fused Face-Based (NeoN),73.75175257731959
122,LDC_N60,216000,484,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,1490400.0,0.484,2.240740740740741e-06,0.0022407407407407,2.481481481481482e-06,0.0024814814814814,Fused Face-Based (NeoN),73.90413223140496
123,LDC_N60,216000,1154,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,1490400.0,1.154,5.342592592592592e-06,0.0053425925925925,5.7361111111111114e-06,0.0057361111111111,Cell-Based (NeoN),30.996187175043328
124,LDC_N60,216000,1133,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,1490400.0,1.133,5.245370370370371e-06,0.0052453703703703,5.7361111111111114e-06,0.0057361111111111,Cell-Based (NeoN),31.57069726390115
125,LDC_N60,216000,1111,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,1490400.0,1.111,5.1435185185185184e-06,0.0051435185185185,5.7361111111111114e-06,0.0057361111111111,Cell-Based (NeoN),32.195859585958594
